gbif_id,scientific_name,decimal_latitude,decimal_longitude,year,basis_of_record,country_code,coordinate_uncertainty_m
5938104699,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.907649,31.462346,2026,HUMAN_OBSERVATION,ZA,30025.0
5938252120,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-32.35723,25.563539,2026,HUMAN_OBSERVATION,ZA,29120.0
5938302574,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.196291,35.612309,2026,HUMAN_OBSERVATION,TZ,31428.0
5938306747,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.981695,31.437652,2026,HUMAN_OBSERVATION,ZA,30025.0
5938326058,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.821211,36.081052,2026,HUMAN_OBSERVATION,TZ,31415.0
5938341495,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.087878,35.764644,2026,HUMAN_OBSERVATION,TZ,31428.0
5938346854,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.802694,31.581901,2026,HUMAN_OBSERVATION,ZA,30025.0
5938378320,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.615243,31.960007,2026,HUMAN_OBSERVATION,ZA,30047.0
5938557641,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.693746,31.548705,2026,HUMAN_OBSERVATION,ZA,30047.0
5938580667,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.136021,35.731679,2026,HUMAN_OBSERVATION,TZ,31428.0
5938581416,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.828866,31.573804,2026,HUMAN_OBSERVATION,ZA,30025.0
6129864876,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.248705,35.158216,2026,HUMAN_OBSERVATION,KE,31447.0
6129907517,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.481778,35.245475,2026,HUMAN_OBSERVATION,KE,31446.0
6129919685,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.378343,35.130048,2026,HUMAN_OBSERVATION,KE,31447.0
6129950835,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.344372,31.700056,2026,HUMAN_OBSERVATION,ZA,30090.0
6129999801,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.253741,35.006436,2026,HUMAN_OBSERVATION,KE,31447.0
6130007191,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.221783,35.088302,2026,HUMAN_OBSERVATION,KE,31447.0
6130028443,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.471521,36.832878,2026,HUMAN_OBSERVATION,KE,31446.0
6130109677,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.214066,35.119238,2026,HUMAN_OBSERVATION,KE,31447.0
6130121570,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.563292,34.99105,2026,HUMAN_OBSERVATION,TZ,31436.0
6130125990,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.031039,31.519709,2026,HUMAN_OBSERVATION,ZA,30003.0
6130126486,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.738806,30.389014,2026,HUMAN_OBSERVATION,ZA,52682.0
6130151433,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.713502,31.510866,2026,HUMAN_OBSERVATION,ZA,30047.0
